,Row.names,logFC,logCPM,LR,PValue,FDR,AGI,symbol,gene_name,X..identity,alignment.length,e.value,bit.score,percent.query.align,,
129,Solyc02g069950,-0.173662451,11.29553706,3.967189389,0.046395151,0.140872778,AT5G08420,NA,similar to NAP57 (ARABIDOPSIS THALIANA HOMOLOGUE OF NAP57) [Arabidopsis thaliana] (TAIR:AT3G57150.1); similar to rev protein (42.9 kD)-like [Oryza sativa (japonica cultivar-group)] (GB:BAD82278.1); similar to Os10g0452800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001064737.1); contains domain Eukaryotic type KH-domain (KH-domain type I) (SSF54791); contains domain Gametocyte protein Pfg27 (SSF89162); contains domain SUBFAMILY NOT NAMED (PTHR12581:SF2); contains domain no description (G3D.3.30.70.210); contains domain FAMILY NOT NAMED (PTHR12581),73.99,346,5.00E-131,464,89.03394256,,
337,Solyc02g080400,-0.171168246,8.080559435,1.867506714,0.171760912,0.39141191,AT4G21820,NA,calmodulin-binding family protein; similar to abnormal spindle-like protein [Oryza sativa (japonica cultivar-group)] (GB:BAC56022.1); contains InterPro domain Armadillo; (InterPro:IPR000225); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989); contains InterPro domain IQ calmodulin-binding region; (InterPro:IPR000048),62.25,151,3.00E-46,180,89.22155689,,
47,Solyc02g069050,-0.16481891,5.937382129,0.405468839,0.52427835,0.728113241,NA,NA,NA,NA,NA,NA,NA,NA,,
106,Solyc02g069690,-0.164640295,8.603186544,1.105664246,0.293026391,0.536048278,AT2G34790,EDA28,"EDA28/MEE23 (embryo sac development arrest 28, maternal effect embryo arrest 23); electron carrier; similar to FAD-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G44390.1); similar to FAD-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT1G30760.1); similar to FAD-binding domain-containing protein [Arabidopsis thaliana] (TAIR:AT5G44400.1); similar to Berberine and berberine like, putative [Medicago truncatula] (GB:ABE90048.1); contains InterPro domain FAD linked oxidase, N-terminal; (InterPro:IPR006094); contains InterPro domain Berberine/berberine-like; (InterPro:IPR012951)",61.19,536,4.00E-180,628,96.89781022,,
450,Solyc02g081840,-0.161321111,8.358181432,1.54939213,0.213225201,0.439571954,AT3G47630,NA,similar to expressed protein [Oryza sativa (japonica cultivar-group)] (GB:ABA94181.1); contains domain FAMILY NOT NAMED (PTHR13619); contains domain gb def: Hypothetical protein F1P2.180 (At3g47630) (PTHR13619:SF1),65.45,330,7.00E-128,453,93.73219373,,
403,Solyc02g081260,-0.157358811,5.631235262,0.396639235,0.52883002,0.728113241,NA,NA,NA,NA,NA,NA,NA,NA,,
351,Solyc02g080550,-0.156564369,8.914125559,1.696332035,0.192768366,0.413238389,NA,NA,NA,NA,NA,NA,NA,NA,,
30,Solyc02g068800,-0.155703097,6.836966214,0.669454784,0.413241759,0.638321564,NA,NA,NA,NA,NA,NA,NA,NA,,
357,Solyc02g080610,-0.153886898,9.158308353,2.297993955,0.129541208,0.322949245,AT1G11740,NA,ankyrin repeat family protein; similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G62050.1); similar to hypothetical protein [Oryza sativa (japonica cultivar-group)] (GB:BAD31026.1); similar to Os07g0512100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001059766.1); contains InterPro domain Ankyrin; (InterPro:IPR002110),56.29,556,2.00E-156,550,93.85665529,,
155,Solyc02g070330,-0.152737081,12.31765072,2.415719752,0.120122748,0.308065994,AT5G58420,NA,"40S ribosomal protein S4 (RPS4D); Identical to 40S ribosomal protein S4-1 (RPS4A) [Arabidopsis Thaliana] (GB:Q93VH9;GB:Q7XJS7); Identical to 40S ribosomal protein S4-3 (RPS4D) [Arabidopsis Thaliana] (GB:Q8VYK6;GB:Q944M1;GB:Q9FGI0); Identical to 40S ribosomal protein S4-2 (RPS4B) [Arabidopsis Thaliana] (GB:P49204;GB:Q42346;GB:Q9FL39;GB:Q9LYQ6); similar to 40S ribosomal protein S4 (RPS4B) [Arabidopsis thaliana] (TAIR:AT5G07090.1); similar to 40S ribosomal S4 protein [Glycine max] (GB:AAM93434.1); contains InterPro domain KOW (Kyrpides, Ouzounis, Woese) motif; (InterPro:IPR006646); contains InterPro domain RNA-binding S4; (InterPro:IPR002942); contains InterPro domain Ribosomal protein S4E; (InterPro:IPR000876); contains InterPro domain KOW; (InterPro:IPR005824)",90.08,262,7.00E-144,506,98.49056604,,
529,Solyc02g082690,-0.152613149,9.238343268,1.937679931,0.163920665,0.38339316,NA,NA,NA,NA,NA,NA,NA,NA,,
179,Solyc02g070570,-0.15137559,12.96112768,2.696827217,0.10054816,0.266801059,AT3G11510,NA,40S ribosomal protein S14 (RPS14B); Identical to 40S ribosomal protein S14-2 (RPS14B) [Arabidopsis Thaliana] (GB:Q9CAX6); Identical to 40S ribosomal protein S14-1 (RPS14A) [Arabidopsis Thaliana] (GB:Q9SIH0); similar to 40S ribosomal protein S14 (RPS14A) [Arabidopsis thaliana] (TAIR:AT2G36160.1); similar to cytoplasmic ribosomal protein S14 [Brassica napus] (GB:AAO41731.1); contains InterPro domain Ribosomal protein S11; (InterPro:IPR001971),92.81,139,4.00E-64,239,91.39072848,,
183,Solyc02g070610,-0.150390628,6.317597692,0.534010278,0.464925718,0.682740232,AT5G50890,NA,similar to lipase class 3 family protein [Arabidopsis thaliana] (TAIR:AT2G05260.1); similar to Os01g0243000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001042560.1); similar to Os01g0751600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044260.1); similar to lipase class 3-like [Oryza sativa (japonica cultivar-group)] (GB:BAB84413.1),56.57,373,4.00E-119,424,92.68929504,,
278,Solyc02g071730,-0.149978184,4.739023693,0.191005667,0.662080924,0.795684698,AT4G18960,AG,Floral homeotic gene encoding a MADS domain transcription factor. Specifies floral meristem and carpel and stamen identity. Binds CArG box sequences. It is the only C function gene. It interacts genetically with the other homeotic genes to specify the floral organs.,69.69,254,3.00E-96,348,98.3935743,,
360,Solyc02g080640,-0.148425997,11.41142276,0.967991491,0.325181607,0.567743782,AT4G21990,3-Apr,"Encodes a protein disulfide isomerase-like (PDIL) protein, a member of a multigene family within the thioredoxin (TRX) superfamily.  This protein also belongs to the adenosine 5'-phosphosulfate reductase-like (APRL) group.",76.04,434,0,701,93.50649351,,
327,Solyc02g080300,-0.146215981,7.772681939,1.226983841,0.267994412,0.50688741,AT1G61820,BGLU46,"BGLU46; hydrolase, hydrolyzing O-glycosyl compounds; similar to BGLU45, hydrolase, hydrolyzing O-glycosyl compounds [Arabidopsis thaliana] (TAIR:AT1G61810.1); similar to Glycoside hydrolase, family 1 [Medicago truncatula] (GB:ABE77795.1); contains InterPro domain Glycoside hydrolase, family 1; (InterPro:IPR001360)",55.23,516,5.00E-166,581,97.87234043,,
15,Solyc02g068640,-0.143745994,9.960793137,2.757959096,0.09677162,0.258057653,AT5G14800,AT-P5C1,"Delta 1-pyrroline-5-carboxylate reductase, catalyzes the final step in proline biosynthesis from glutamate and ornithine.In situ hybridization indicated that under normal growth conditions, the highest concentration of P5CR transcripts occurs in the cortical parenchyma, phloem, vascular cambium and pith parenchyma in the vicinity of the protoxylem. Single gene in Arabidopsis.",74.09,274,4.00E-114,407,98.19494585,,
266,Solyc02g071580,-0.143576246,9.024232125,1.754686387,0.185288671,0.40680333,AT5G45650,NA,"subtilase family protein; similar to subtilase family protein [Arabidopsis thaliana] (TAIR:AT5G45640.1); similar to subtilisin-like proteinase-like [Oryza sativa (japonica cultivar-group)] (GB:BAB21149.1); contains InterPro domain Protease-associated PA; (InterPro:IPR003137); contains InterPro domain Peptidase S8 and S53, subtilisin, kexin, sedolisin; (InterPro:IPR000209); contains InterPro domain Proteinase inhibitor I9, subtilisin propeptide; (InterPro:IPR010259); contains InterPro domain Proteinase inhibitor, propeptide; (InterPro:IPR009020)",61.01,772,0,866,97.16494845,,
499,Solyc02g082360,-0.143474839,6.238177203,0.369661542,0.543188815,0.738225346,AT3G55620,emb1624,"EMB1624 (EMBRYO DEFECTIVE 1624); translation initiation factor; similar to eukaryotic translation initiation factor 6, putative / eIF-6, putative [Arabidopsis thaliana] (TAIR:AT2G39820.1); similar to Os07g0639800 [Oryza sativa (japonica cultivar-group)] (GB:NP_001060417.1); similar to putative eukaryotic translation initiation factor 6 [Trifolium pratense] (GB:BAE71264.1); contains InterPro domain Translation initiation factor IF6; (InterPro:IPR002769)",74.86,175,3.00E-73,271,89.69072165,,
124,Solyc02g069880,-0.141292459,9.445280446,1.291809693,0.255714715,0.49184765,NA,NA,NA,NA,NA,NA,NA,NA,,
176,Solyc02g070540,-0.140293174,12.8589038,2.580576862,0.10818223,0.282856954,AT2G34510,NA,similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G29980.1); similar to unknown [Ricinus communis] (GB:CAB02653.1); similar to Os01g0756600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044289.1); similar to Os01g0531400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001043243.1); contains InterPro domain Galactose-binding like; (InterPro:IPR008979); contains InterPro domain Protein of unknown function DUF642; (InterPro:IPR006946),75.99,379,4.00E-163,570,94.13265306,,
457,Solyc02g081910,-0.13798709,10.2221728,2.87042672,0.090220946,0.244234479,NA,NA,NA,NA,NA,NA,NA,NA,,
333,Solyc02g080360,-0.137493727,5.176216768,0.244249042,0.621153936,0.784727675,NA,NA,NA,NA,NA,NA,NA,NA,,
512,Solyc02g082510,-0.133400011,9.578786062,1.293636615,0.255378849,0.49184765,AT4G38250,NA,"amino acid transporter family protein; similar to amino acid transporter family protein [Arabidopsis thaliana] (TAIR:AT2G42005.1); similar to amino acid transport protein (GB:AAB82307.1); similar to OSIGBa0158F05.8 [Oryza sativa (indica cultivar-group)] (GB:CAH66759.1); similar to OSJNBa0017B10.14 [Oryza sativa (japonica cultivar-group)] (GB:CAE03099.2); contains InterPro domain Amino acid/polyamine transporter II; (InterPro:IPR002422); contains InterPro domain Amino acid transporter, transmembrane; (InterPro:IPR013057)",67.2,436,6.00E-156,547,99.29577465,,
459,Solyc02g081930,-0.130860949,7.789434756,0.729660196,0.392993354,0.627501535,NA,NA,NA,NA,NA,NA,NA,NA,,
8,Solyc02g068550,-0.130183508,7.988320164,0.919659146,0.337564485,0.583659884,AT4G15090,FAR1,Encodes a nuclear localized protein involved in far red light response signaling. Loss of function mutants are defective in far red light responses. Interacts with homologous gene FHY3.,50.85,710,0,685,88.55345912,,
133,Solyc02g070010,-0.129706521,7.027177902,0.461720583,0.496820952,0.708234124,AT2G01860,EMB975,pentatricopeptide (PPR) repeat-containing protein; similar to pentatricopeptide (PPR) repeat-containing protein [Arabidopsis thaliana] (TAIR:AT2G38420.1); similar to Os02g0118000 [Oryza sativa (japonica cultivar-group)] (GB:NP_001045692.1); similar to PPR566-6 [Physcomitrella patens] (GB:BAD67153.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885),58.93,431,1.00E-128,456,93.2166302,,
202,Solyc02g070820,-0.124739046,5.602464225,0.231113173,0.630699653,0.784727675,NA,NA,NA,NA,NA,NA,NA,NA,,
71,Solyc02g069340,-0.122166923,9.682378371,1.290164089,0.256017713,0.49184765,AT5G22100,NA,RNA cyclase family protein; Identical to Probable RNA 3'-terminal phosphate cyclase-like protein [Arabidopsis Thaliana] (GB:Q9C578); similar to Os03g0833700 [Oryza sativa (japonica cultivar-group)] (GB:NP_001051811.1); similar to hypothetical protein DDBDRAFT_0218402 [Dictyostelium discoideum AX4] (GB:XP_640201.1); contains InterPro domain RNA 3'-terminal phosphate cyclase; (InterPro:IPR000228),67.47,375,6.00E-136,480,98.68073879,,
332,Solyc02g080350,-0.121620877,5.264361937,0.205369815,0.650420958,0.787984143,AT1G77170,NA,pentatricopeptide (PPR) repeat-containing protein; similar to binding [Arabidopsis thaliana] (TAIR:AT4G21065.1); similar to Tetratricopeptide-like helical [Medicago truncatula] (GB:ABE81261.1); contains InterPro domain Pentatricopeptide repeat; (InterPro:IPR002885); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940),56.17,454,3.00E-160,561,97.15536105,,
482,Solyc02g082180,-0.121441575,11.88304974,1.618739361,0.203267655,0.42835186,AT5G44635,MCM6,"minichromosome maintenance family protein / MCM family protein; similar to DNA replication licensing factor, putative [Arabidopsis thaliana] (TAIR:AT2G16440.1); similar to mini-chromosome maintenance protein MCM6 [Pisum sativum] (GB:AAN73052.2); similar to DNA replication licensing factor, MCM5 component (ISS) [Ostreococcus tauri] (GB:CAL50164.1); similar to minichromosome maintenance protein [Zea mays] (GB:AAW55593.1); contains InterPro domain Nucleic acid-binding, OB-fold; (InterPro:IPR008994); contains InterPro domain MCM; (InterPro:IPR001208); contains InterPro domain MCM protein 6; (InterPro:IPR008049)",73.43,843,0,1257,99.04191617,,
1,Solyc02g068480,-0.121195886,9.858891522,2.062836354,0.150929009,0.36277107,AT4G22285,NA,"ubiquitin thiolesterase/ zinc ion binding; similar to ubiquitin carboxyl-terminal hydrolase family protein [Arabidopsis thaliana] (TAIR:AT4G22350.1); similar to ubiquitin carboxyl-terminal hydrolase family protein [Arabidopsis thaliana] (TAIR:AT4G22410.1); similar to SAP DNA-binding domain-containing protein [Dictyostelium discoideum AX4] (GB:XP_647829.1); similar to Os09g0407900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001063139.1); contains InterPro domain Zinc finger, UBP-type; (InterPro:IPR001607); contains InterPro domain Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2; (InterPro:IPR001394)",70.41,561,0,757,99.63768116,,
408,Solyc02g081310,-0.120954088,10.2582235,2.238665583,0.134597092,0.331152707,AT5G64670,NA,"ribosomal protein L15 family protein; similar to RPL15 (ribosomal protein L15) [Arabidopsis thaliana] (TAIR:AT3G25920.1); similar to Os08g0310100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001061512.1); similar to Mitochondrial/chloroplast ribosomal protein L15/L10 (ISS) [Ostreococcus tauri] (GB:CAL57979.1); contains InterPro domain Ribosomal protein L15, bacterial form; (InterPro:IPR005749); contains InterPro domain Ribosomal protein L15; (InterPro:IPR001196)",77.2,250,2.00E-72,269,85.86572438,,
153,Solyc02g070310,-0.119245098,13.59238673,1.728961925,0.188543524,0.40914708,AT4G18100,NA,60S ribosomal protein L32 (RPL32A); Identical to 60S ribosomal protein L32-1 (RPL32A) [Arabidopsis Thaliana] (GB:P49211;GB:Q8LC86;GB:Q9SVW1); similar to 60S ribosomal protein L32 (RPL32B) [Arabidopsis thaliana] (TAIR:AT5G46430.2); similar to ly200 protein [Capsicum annuum] (GB:AAR83884.1); contains InterPro domain Ribosomal protein L32e; (InterPro:IPR001515),88.72,133,2.00E-63,237,98.50746269,,
421,Solyc02g081440,-0.118882706,10.37066423,1.636136386,0.200856397,0.425529757,NA,NA,NA,NA,NA,NA,NA,NA,,
361,Solyc02g080650,-0.11810299,8.308871553,0.822572876,0.36442899,0.600777736,NA,NA,NA,NA,NA,NA,NA,NA,,
352,Solyc02g080560,-0.11775453,8.422321629,0.885741523,0.34663393,0.587691885,NA,NA,NA,NA,NA,NA,NA,NA,,
132,Solyc02g070000,-0.117666759,11.07825978,1.796802666,0.180099518,0.398898106,AT4G20940,NA,"leucine-rich repeat family protein; similar to leucine-rich repeat transmembrane protein kinase, putative [Arabidopsis thaliana] (TAIR:AT5G10020.1); similar to Os07g0145400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058883.1); similar to Leucine Rich Repeat family protein, expressed [Oryza sativa (japonica cultivar-group)] (GB:ABF95661.1); contains InterPro domain Serine/threonine protein kinase; (InterPro:IPR002290); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Leucine-rich repeat; (InterPro:IPR001611); contains InterPro domain Leucine-rich repeat, typical subtype; (InterPro:IPR003591); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Leucine-rich repeat, plant specific; (InterPro:IPR007090); contains InterPro domain Leucine rich repeat, N-terminal; (InterPro:IPR013210)",64.05,829,0,970,78.24390244,,
501,Solyc02g082400,-0.117553399,9.799099024,1.444353939,0.229436076,0.464066931,NA,NA,NA,NA,NA,NA,NA,NA,,
358,Solyc02g080620,-0.111622778,9.575117904,1.453892876,0.227904333,0.462714858,AT1G11790,ADT1,prephenate dehydratase family protein; similar to prephenate dehydratase family protein [Arabidopsis thaliana] (TAIR:AT3G07630.2); similar to Prephenate dehydratase with ACT re (GB:ABE89101.1); contains InterPro domain Prephenate dehydratase; (InterPro:IPR001086); contains InterPro domain Amino acid-binding ACT; (InterPro:IPR002912),66,403,5.00E-150,527,98.75311721,,
507,Solyc02g082460,-0.109778443,12.2402971,1.615025565,0.203786799,0.42835186,AT2G17510,EMB2763,"ribonuclease II family protein; similar to ribonuclease II family protein [Arabidopsis thaliana] (TAIR:AT1G77680.1); similar to hypothetical protein [Homo sapiens] (GB:CAH56266.1); similar to unnamed protein product [Oryza sativa (japonica cultivar-group)] (GB:BAA85401.1); similar to PREDICTED: KIAA1008 [Pan troglodytes] (GB:XP_509678.2); contains InterPro domain Nucleotide binding protein, PINc; (InterPro:IPR006596); contains InterPro domain Ribonuclease II and R; (InterPro:IPR001900)",78.21,936,0,1490,99.46581197,,
398,Solyc02g081200,-0.109765791,10.67202221,1.255247669,0.262552563,0.499036076,AT1G62390,NA,octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein; similar to octicosapeptide/Phox/Bem1p (PB1) domain-containing protein / tetratricopeptide repeat (TPR)-containing protein [Arabidopsis thaliana] (TAIR:AT2G25290.1); similar to Octicosapeptide/Phox/Bem1p [Medicago truncatula] (GB:ABD32646.1); similar to Os09g0135400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001062638.1); similar to Octicosapeptide/Phox/Bem1p [Medicago truncatula] (GB:ABE85285.1); contains InterPro domain Tetratricopeptide region; (InterPro:IPR013026); contains InterPro domain Protein prenyltransferase; (InterPro:IPR008940); contains InterPro domain Tetratricopeptide-like helical; (InterPro:IPR011990); contains InterPro domain Octicosapeptide/Phox/Bem1p; (InterPro:IPR000270),65.58,770,0,882,97.43260591,,
473,Solyc02g082070,-0.10945977,6.150104723,0.233491762,0.62894674,0.784727675,NA,NA,NA,NA,NA,NA,NA,NA,,
240,Solyc02g071220,-0.109458684,10.00645584,1.207413863,0.271844905,0.507696408,NA,NA,NA,NA,NA,NA,NA,NA,,
279,Solyc02g071740,-0.10943242,10.75086128,1.565567004,0.210851962,0.436357728,AT4G18950,NA,"ankyrin protein kinase, putative; similar to ankyrin protein kinase, putative [Arabidopsis thaliana] (TAIR:AT3G58760.1); similar to flag-tagged protein kinase domain of putative mitogen-activated protein kinase kinase kinase [synthetic construct] (GB:ABK06434.1); contains InterPro domain Protein kinase-like; (InterPro:IPR011009); contains InterPro domain Protein kinase; (InterPro:IPR000719); contains InterPro domain Tyrosine protein kinase; (InterPro:IPR001245); contains InterPro domain Ankyrin; (InterPro:IPR002110)",66.44,435,1.00E-167,586,93.93939394,,
419,Solyc02g081420,-0.109051065,8.998079013,0.978318447,0.322614308,0.565102186,NA,NA,NA,NA,NA,NA,NA,NA,,
170,Solyc02g070480,-0.108162131,9.240582448,1.077906011,0.299166468,0.54541914,AT4G18380,NA,F-box family protein; similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT5G46170.1); similar to P0432B10.4 [Oryza sativa (japonica cultivar-group)] (GB:BAB90386.1); similar to Os05g0510400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001056009.1); similar to Os01g0770400 [Oryza sativa (japonica cultivar-group)] (GB:NP_001044377.1); contains InterPro domain Cyclin-like F-box; (InterPro:IPR001810),87.67,146,1.00E-67,252,75.12953368,,
36,Solyc02g068900,-0.106998675,11.15712154,0.87829917,0.348667947,0.587691885,AT4G19880,NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G45020.1); similar to Glutathione S-transferase, C-terminal-like [Medicago truncatula] (GB:ABC75353.1); contains InterPro domain Thioredoxin-like fold; (InterPro:IPR012336); contains InterPro domain Glutathione S-transferase, C-terminal-like; (InterPro:IPR010987); contains InterPro domain Glutathione S-transferase, C-terminal; (InterPro:IPR004046)",79.75,316,4.00E-156,547,99.05660377,,
418,Solyc02g081410,-0.106451439,10.95680064,1.566591696,0.210702673,0.436357728,AT3G02710,NA,"nuclear associated protein-related / NAP-related; similar to PREDICTED: similar to CG11964-PA [Apis mellifera] (GB:XP_393169.1); similar to Os02g0831300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001048618.1); contains InterPro domain Armadillo; (InterPro:IPR000225); contains InterPro domain Protein of unknown function DUF1716, eukaryotic; (InterPro:IPR013180); contains InterPro domain Armadillo-like helical; (InterPro:IPR011989)",76.45,501,0,703,93.27102804,,
198,Solyc02g070780,-0.106180176,12.90957602,1.220855763,0.269192773,0.50688741,AT5G46280,MCM3,"DNA replication licensing factor, putative; Identical to DNA replication licensing factor MCM3 homolog (Minichromosome maintenance protein 3 homolog) (MCM3) [Arabidopsis Thaliana] (GB:Q9FL33;GB:O65400); similar to PRL (PROLIFERA), ATP binding / DNA binding / DNA-dependent ATPase [Arabidopsis thaliana] (TAIR:AT4G02060.1); similar to mini-chromosome maintenance protein MCM3 [Pisum sativum] (GB:AAN73053.2); similar to replication ori (GB:AAD48086.1); similar to MCM; Nucleic acid-binding, OB-fold [Medicago truncatula] (GB:ABE90103.1); contains InterPro domain Nucleic acid-binding, OB-fold; (InterPro:IPR008994); contains InterPro domain MCM protein 3; (InterPro:IPR008046); contains InterPro domain MCM; (InterPro:IPR001208); contains InterPro domain AAA ATPase; (InterPro:IPR003593)",66.41,780,0,1000,96.57360406,,
460,Solyc02g081940,-0.105124219,10.19171954,1.65383004,0.198438443,0.422075418,AT4G19610,NA,"RNA recognition motif (RRM)-containing protein; similar to RNA recognition motif (RRM)-containing protein [Arabidopsis thaliana] (TAIR:AT5G05720.1); similar to Os04g0611500 [Oryza sativa (japonica cultivar-group)] (GB:NP_001053839.1); similar to OSJNBa0085I10.19 [Oryza sativa (japonica cultivar-group)] (GB:CAE03574.2); similar to RNA-binding protein (RRM superfamily) (ISS) [Ostreococcus tauri] (GB:CAL51584.1); contains InterPro domain RNA recognition, region 1; (InterPro:IPR003954); contains InterPro domain Nucleotide-binding, alpha-beta plait; (InterPro:IPR012677); contains InterPro domain RNA-binding region RNP-1 (RNA recognition motif); (InterPro:IPR000504)",52.75,817,0,766,97.27385378,,
467,Solyc02g082010,-0.103862765,9.028928152,0.819253897,0.365398399,0.600777736,NA,NA,NA,NA,NA,NA,NA,NA,,
427,Solyc02g081520,-0.103313807,9.020957964,1.029525119,0.31027023,0.55666252,NA,NA,NA,NA,NA,NA,NA,NA,,
503,Solyc02g082420,-0.10188096,9.65417949,1.214381837,0.270466043,0.50688741,NA,NA,NA,NA,NA,NA,NA,NA,,
51,Solyc02g069090,-0.101773456,11.95967185,1.300199792,0.254176733,0.49184765,AT4G01610,NA,"cathepsin B-like cysteine protease, putative; similar to cathepsin B-like cysteine protease, putative [Arabidopsis thaliana] (TAIR:AT1G02305.1); similar to Peptidase C1A, papain; Somatotropin hormone [Medicago truncatula] (GB:ABD32840.1); contains InterPro domain Peptidase, cysteine peptidase active site; (InterPro:IPR000169); contains InterPro domain Peptidase C1A, papain; (InterPro:IPR013128); contains InterPro domain Peptidase C1, propeptide; (InterPro:IPR012599); contains InterPro domain Peptidase C1A, papain C-terminal; (InterPro:IPR000668)",73.4,312,3.00E-135,478,88.101983,,
104,Solyc02g069670,-0.10155329,9.72657334,0.931279287,0.334530724,0.58217035,AT5G11720,NA,"alpha-glucosidase 1 (AGLU1); similar to alpha-xylosidase, putative [Arabidopsis thaliana] (TAIR:AT3G45940.1); similar to ATXYL1/XYL1 (ALPHA-XYLOSIDASE 1), alpha-N-arabinofuranosidase/ hydrolase, hydrolyzing O-glycosyl compounds / xylan 1,4-beta-xylosidase [Arabidopsis thaliana] (TAIR:AT1G68560.1); similar to Alpha-glucosidase precursor (Maltase) (GB:O04893); similar to Alpha-glucosidase precursor (Maltase) (GB:O04931); similar to high pI alpha-glucosidase [Hordeum vulgare] (GB:AAF76254.1); contains InterPro domain Glycoside hydrolase, family 31; (InterPro:IPR000322)",66.19,701,0,971,81.94774347,,SL2.40ch02:34090361..34095126
118,Solyc02g069820,-0.099138268,9.182508023,0.841515228,0.358963774,0.595728783,AT3G29130,NA,"similar to hypothetical protein MtrDRAFT_AC152752g12v1 [Medicago truncatula] (GB:ABE87460.1); contains domain FAMILY NOT NAMED (PTHR13511); contains domain gb def: Arabidopsis thaliana genomic DNA, chromosome 3, P1 clone: MXE2 (PTHR13511:SF1)",68.27,104,9.00E-41,161,83.06451613,,
128,Solyc02g069940,-0.096488143,10.07792659,0.869438236,0.351110876,0.589921675,NA,NA,NA,NA,NA,NA,NA,NA,,
439,Solyc02g081650,-0.095225888,9.994181888,1.192035587,0.274919339,0.510110417,AT1G79020,NA,transcription factor-related; similar to transcription factor-related [Arabidopsis thaliana] (TAIR:AT1G16690.1); similar to enhancer of polycomb-like protein [Oryza sativa (japonica cultivar-group)] (GB:BAD28718.1); contains domain ENHANCER OF POLYCOMB (PTHR14898); contains domain ENHANCER OF POLYCOMB (PTHR14898:SF2),65.78,453,9.00E-162,566,98.88392857,,
487,Solyc02g082230,-0.094517624,10.52415002,1.413119617,0.234539209,0.470835265,AT5G63870,ATPP7,Encodes a nuclear localized serine/threonine phosphatase that appears to be regulated by redox activity and is a positive regulator of cryptochrome mediated blue light signalling.,72.17,406,2.00E-176,615,87.82608696,,
429,Solyc02g081540,-0.091862142,3.529360688,0.030460628,0.861449166,0.925324154,NA,NA,NA,NA,NA,NA,NA,NA,,
472,Solyc02g082060,-0.090978961,10.36436775,1.013013766,0.314181915,0.55666252,AT4G25680,NA,"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G25660.1); similar to Protein of unknown function DUF862, eukaryotic [Medicago truncatula] (GB:ABE85315.1); similar to Os10g0533900 [Oryza sativa (japonica cultivar-group)] (GB:NP_001065158.1); contains InterPro domain Protein of unknown function DUF862, eukaryotic; (InterPro:IPR008580)",54.55,165,2.00E-53,205,76.1682243,,
449,Solyc02g081830,-0.087165812,7.979634962,0.383384631,0.535797382,0.734494622,AT5G44730,NA,"haloacid dehalogenase-like hydrolase family protein; similar to Os02g0173600 [Oryza sativa (japonica cultivar-group)] (GB:NP_001046041.1); similar to Os06g0665100 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058303.1); similar to haloacid dehalogenase-like hydrolase domain containing 3 [Bos taurus] (GB:NP_001014896.1); contains InterPro domain HAD-superfamily subfamily IA hydrolase, REG-2-like; (InterPro:IPR011949); contains InterPro domain HAD-superfamily hydrolase, subfamily IA, variant 1; (InterPro:IPR006439); contains InterPro domain Haloacid dehalogenase-like hydrolase; (InterPro:IPR005834)",73.62,254,2.00E-114,408,98.05447471,,
125,Solyc02g069910,-0.087020983,9.283257958,0.618670723,0.431541683,0.652245982,NA,NA,NA,NA,NA,NA,NA,NA,,
77,Solyc02g069400,-0.085189302,9.557035146,0.841411904,0.358993278,0.595728783,NA,NA,NA,NA,NA,NA,NA,NA,,
